Id ;Heure;Débit;Total;Pression;Densité
758;05:45:52;0;2;65;
759;05:45:56;0;2;65;
760;05:46:00;0;2;65;
761;05:46:04;0;2;65;
762;05:46:08;0;2;65;
763;05:46:12;0;2;65;
764;05:46:16;0;2;65;
765;05:46:20;0;2;65;
766;05:46:24;0;2;65;
767;05:46:28;0;2;65;
768;05:46:32;0;2;65;
769;05:46:36;0;2;65;
770;05:46:40;0;2;65;
771;05:46:44;0;2;65;
772;05:46:48;0;2;65;
773;05:46:52;0;2;65;
774;05:46:56;0;2;65;
775;05:47:00;0;2;65;
776;05:47:04;0;2;65;
777;05:47:08;0;2;65;
778;05:47:12;0;2;65;
779;05:47:16;0;2;65;
780;05:47:20;0;2;65;
781;05:47:24;0;2;65;
782;05:47:28;0;2;65;
783;05:47:32;0;2;65;
784;05:47:36;0;2;65;
785;05:47:40;0;2;65;
786;05:47:44;0;2;65;
787;05:47:48;0;2;65;
788;05:47:52;0;2;65;
789;05:47:56;0;2;65;
790;05:48:00;0;2;65;
791;05:48:04;0;2;65;
792;05:48:08;0;2;65;
793;05:48:12;0;2;65;
794;05:48:16;0;2;65;
795;05:48:20;0;2;65;
796;05:48:24;0;2;65;
797;05:48:28;0;2;65;
798;05:48:32;0;2;65;
799;05:48:36;0;2;65;
800;05:48:40;0;2;65;
801;05:48:44;0;2;65;
802;05:48:48;0;2;65;
803;05:48:52;0;2;65;
804;05:48:56;0;2;65;
805;05:49:00;0;2;65;
806;05:49:04;0;2;65;
807;05:49:08;0;2;65;
808;05:49:12;0;2;65;
809;05:49:16;0;2;65;
810;05:49:20;0;2;65;
811;05:49:24;0;2;65;
812;05:49:28;0;2;65;
813;05:49:32;0;2;65;
814;05:49:36;0;2;65;
815;05:49:40;0;2;65;
816;05:49:44;0;2;65;
817;05:49:48;0;2;65;
818;05:49:52;0;2;65;
819;05:49:56;0;2;65;
820;05:50:00;0;2;65;
821;05:50:04;0;2;65;
822;05:50:08;0;2;65;
823;05:50:12;0;2;65;
824;05:50:16;0;2;65;
825;05:50:20;0;2;65;
826;05:50:24;0;2;65;
827;05:50:28;0;2;65;
828;05:50:32;0;2;65;
829;05:50:36;0;2;65;
830;05:50:40;0;2;65;
831;05:50:44;0;2;65;
832;05:50:48;0;2;65;
833;05:50:52;0;2;65;
834;05:50:56;0;2;65;
835;05:51:00;0;2;65;
836;05:51:04;0;2;65;
837;05:51:08;0;2;65;
838;05:51:12;0;2;65;
839;05:51:16;0;2;65;
840;05:51:20;0;2;65;
841;05:51:24;0;2;65;
842;05:51:28;0;2;65;
843;05:51:32;0;2;65;
844;05:51:36;0;2;65;
845;05:51:40;0;2;65;
846;05:51:44;0;2;65;
847;05:51:48;0;2;65;
848;05:51:52;0;2;65;
849;05:51:56;0;2;65;
850;05:52:00;0;2;65;
851;05:52:04;0;2;65;
852;05:52:08;0;2;65;
853;05:52:12;0;2;65;
854;05:52:16;0;2;65;
855;05:52:20;0;2;65;
856;05:52:24;0;2;65;
857;05:52:28;0;2;65;
858;05:52:32;0;2;65;
859;05:52:36;1;2;65;
860;05:52:40;2;2;64;
861;05:52:44;8;2;64;
862;05:52:48;11;2;64;
863;05:52:52;16;2;65;
864;05:52:56;23;2;65;
865;05:53:00;28;2;64;
866;05:53:04;34;2;64;
867;05:53:08;39;2;65;
868;05:53:12;44;2;68;
869;05:53:16;49;2;67;
870;05:53:20;54;2;69;
871;05:53:24;60;2;69;
872;05:53:28;65;2;70;
873;05:53:32;72;2;69;
874;05:53:36;77;2;69;
875;05:53:40;82;2;73;
876;05:53:44;86;4;74;
877;05:53:48;88;8;80;
878;05:53:52;89;13;82;
879;05:53:56;89;18;83;
880;05:54:00;91;23;87;
881;05:54:04;92;29;89;
882;05:54:08;91;35;90;
883;05:54:12;92;41;91;
884;05:54:16;92;47;92;
885;05:54:20;92;52;94;
886;05:54:24;94;58;94;
887;05:54:28;94;65;95;
888;05:54:32;94;71;97;
889;05:54:36;94;77;97;
890;05:54:40;96;83;98;
891;05:54:44;98;89;98;
892;05:54:48;100;95;99;
893;05:54:52;98;102;99;
894;05:54:56;100;108;101;
895;05:55:00;100;114;101;
896;05:55:04;101;121;102;
897;05:55:08;100;127;102;
898;05:55:12;98;133;102;
899;05:55:16;97;139;104;
900;05:55:20;98;146;104;
901;05:55:24;98;152;104;
902;05:55:28;97;158;104;
903;05:55:32;97;165;105;
904;05:55:36;96;171;105;
905;05:55:40;94;177;106;
906;05:55:44;94;183;106;
907;05:55:48;93;189;106;
908;05:55:52;93;196;107;
909;05:55:56;93;202;107;
910;05:56:00;91;208;108;
911;05:56:04;91;215;108;
912;05:56:08;92;221;108;
913;05:56:12;92;227;109;
914;05:56:16;91;233;109;
915;05:56:20;91;239;110;
916;05:56:24;91;246;110;
917;05:56:28;91;252;110;
918;05:56:32;91;258;110;
919;05:56:36;93;264;110;
920;05:56:40;92;270;111;
921;05:56:44;93;276;112;
922;05:56:48;93;283;112;
923;05:56:52;93;289;112;
924;05:56:56;93;295;112;
925;05:57:00;91;301;113;
