Heure;Débit;Total;Pression;Densité
05:20:20;0;512;96;
05:20:22;0;512;86;
05:20:24;0;512;79;
05:20:26;0;512;76;
05:20:28;0;512;75;
05:20:30;0;512;75;
05:20:32;0;512;75;
05:20:34;0;512;75;
05:20:36;0;512;94;
05:20:38;0;512;118;
05:20:40;0;512;123;
05:20:42;0;512;112;
05:20:44;0;512;101;
05:20:46;0;512;125;
05:20:48;0;512;107;
05:20:50;0;512;155;
05:20:52;0;512;149;
05:20:54;0;512;133;
05:20:56;0;512;118;
05:20:58;0;512;104;
05:21:00;0;512;91;
05:21:02;0;512;82;
05:21:04;0;512;77;
05:21:07;0;512;75;
05:21:09;0;512;75;
05:21:11;0;512;75;
05:21:13;0;512;75;
05:21:15;0;512;75;
05:21:17;0;512;74;
05:21:19;0;512;74;
05:21:21;0;512;74;
05:21:23;0;512;74;
05:21:25;0;512;74;
05:21:27;0;512;74;
05:21:29;0;512;74;
05:21:30;0;512;74;
05:21:32;0;512;74;
05:21:34;0;512;74;
05:21:36;0;512;74;
05:21:38;0;512;74;
05:21:40;0;512;74;
05:21:42;0;512;74;
05:21:44;0;512;74;
05:21:46;0;512;74;
05:21:48;0;512;74;
05:21:50;0;512;74;
05:21:52;0;512;74;
05:21:54;0;512;74;
05:21:56;0;512;74;
05:21:58;0;512;74;
05:22:00;0;512;74;
05:22:02;0;512;74;
05:22:04;0;512;74;
05:22:06;0;512;74;
05:22:08;0;512;74;
05:22:10;0;512;74;
05:22:12;0;512;74;
05:22:14;0;512;74;
05:22:16;0;512;74;
05:22:18;0;512;74;
05:22:20;0;512;74;
05:22:22;0;512;74;
05:22:24;0;512;74;
05:22:26;0;512;74;
05:22:28;0;512;74;
05:22:30;0;512;74;
05:22:32;0;512;73;
05:22:34;0;512;73;
05:22:36;0;512;73;
05:22:38;0;512;73;
05:22:40;0;512;73;
05:22:42;0;512;73;
05:22:44;0;512;73;
05:22:46;0;512;91;
05:22:48;0;512;142;
05:22:50;0;512;140;
05:22:52;0;512;138;
05:22:54;0;512;136;
05:22:56;0;512;133;
05:22:58;0;512;131;
05:23:00;0;512;128;
05:23:02;0;512;126;
05:23:04;0;512;123;
05:23:06;0;512;121;
05:23:08;0;512;119;
05:23:11;0;512;117;
05:23:13;0;512;114;
05:23:15;0;512;112;
05:23:17;0;512;110;
05:23:19;0;512;108;
05:23:21;0;512;106;
05:23:23;0;512;104;
05:23:25;0;512;102;
05:23:27;0;512;101;
05:23:29;0;512;99;
05:23:31;0;512;97;
05:23:33;0;512;95;
05:23:34;0;512;94;
05:23:36;0;512;92;
05:23:38;0;512;91;
05:23:40;0;512;89;
05:23:42;0;512;88;
05:23:44;0;512;86;
05:23:46;0;512;85;
05:23:48;0;512;84;
05:23:50;0;512;83;
05:23:52;0;512;82;
05:23:54;0;512;81;
05:23:56;0;512;80;
05:23:58;0;512;79;
05:24:00;0;512;78;
05:24:02;0;512;77;
05:24:04;0;512;76;
05:24:06;0;512;76;
05:24:08;0;512;169;
05:24:10;0;512;169;
05:24:12;0;512;209;
05:24:14;0;512;198;
05:24:16;0;512;176;
05:24:18;0;512;171;
05:24:20;0;512;166;
05:24:22;0;512;161;
05:24:24;0;512;156;
05:24:26;0;512;152;
05:24:28;0;512;147;
05:24:30;0;512;142;
05:24:32;0;512;138;
05:24:34;0;512;133;
05:24:36;0;512;129;
05:24:38;0;512;125;
05:24:40;0;512;120;
05:24:42;0;512;116;
05:24:44;0;512;112;
05:24:46;0;512;108;
05:24:48;0;512;105;
05:24:50;0;512;101;
05:24:52;0;512;98;
05:24:54;0;512;95;
05:24:56;0;512;92;
05:24:58;0;512;90;
05:25:00;0;512;87;
05:25:02;0;512;85;
05:25:04;0;512;83;
05:25:06;0;512;81;
05:25:09;0;512;79;
05:25:11;0;512;78;
05:25:13;0;512;77;
05:25:15;0;512;76;
05:25:17;0;512;75;
05:25:19;0;512;74;
05:25:21;0;512;73;
05:25:23;0;512;72;
05:25:25;0;512;72;
05:25:27;0;512;71;
05:25:28;0;512;71;
05:25:30;0;512;71;
05:25:32;0;512;70;
05:25:34;0;512;70;
05:25:36;0;512;70;
05:25:38;0;512;70;
05:25:40;0;512;150;
05:25:42;0;512;150;
05:25:44;0;512;147;
05:25:46;0;512;146;
05:25:48;0;512;264;
05:25:50;0;512;257;
05:25:52;0;512;251;
05:25:54;0;512;244;
05:25:56;0;512;237;
05:25:58;0;512;230;
05:26:00;0;512;222;
05:26:02;0;512;214;
05:26:04;0;512;206;
05:26:06;0;512;199;
05:26:08;0;512;194;
05:26:10;0;512;187;
05:26:12;0;512;180;
05:26:14;0;512;174;
05:26:16;0;512;168;
05:26:18;0;512;164;
05:26:20;0;512;160;
05:26:22;0;512;156;
05:26:24;0;512;152;
05:26:26;0;512;148;
05:26:28;0;512;143;
05:26:30;0;512;139;
05:26:32;0;512;134;
05:26:34;0;512;130;
05:26:36;0;512;125;
05:26:38;0;512;120;
05:26:40;0;512;116;
05:26:42;0;512;112;
05:26:44;0;512;108;
05:26:46;0;512;104;
05:26:48;0;512;101;
05:26:50;0;512;98;
05:26:52;0;512;95;
05:26:54;0;512;92;
05:26:56;0;512;88;
05:26:58;0;512;86;
05:27:00;0;512;83;
05:27:02;0;512;81;
05:27:05;0;512;79;
05:27:07;0;512;77;
05:27:09;0;512;76;
05:27:11;0;512;75;
05:27:13;0;512;74;
05:27:15;0;512;73;
05:27:17;0;512;73;
05:27:19;0;512;73;
05:27:21;0;512;72;
05:27:23;0;512;72;
05:27:25;0;512;72;
05:27:26;0;512;72;
05:27:28;0;512;72;
05:27:30;0;512;72;
05:27:32;0;512;72;
05:27:34;0;512;72;
05:27:36;0;512;71;
05:27:38;0;512;71;
05:27:40;0;512;71;
05:27:42;0;512;71;
05:27:44;0;512;71;
05:27:46;0;512;71;
05:27:48;0;512;71;
05:27:50;0;512;71;
05:27:52;0;512;71;
05:27:54;0;512;71;
05:27:56;0;512;71;
05:27:58;0;512;71;
05:28:00;0;512;71;
05:28:02;0;512;71;
05:28:04;0;512;71;
05:28:06;0;512;71;
05:28:08;0;512;71;
05:28:10;0;512;71;
05:28:12;0;512;71;
05:28:14;0;512;71;
05:28:16;0;512;71;
05:28:18;0;512;71;
05:28:20;0;512;71;
05:28:22;0;512;71;
05:28:24;0;512;71;
05:28:26;0;512;71;
05:28:28;0;512;71;
05:28:30;0;512;71;
05:28:32;0;512;71;
05:28:34;0;512;71;
05:28:36;0;512;71;
05:28:38;0;512;71;
05:28:40;0;512;71;
